d;h;l;c;o;v
2003-06-03;515,23;509,05;511,85;511,85;237713579
2003-06-04;517,91;508,24;516,96;516,96;284401293
2003-06-05;522,96;516,09;517,03;517,03;374769222
2003-06-06;531,98;517,78;528,88;517,78;494090192
2003-06-10;529,73;523,4;527,05;528,88;739877833
2003-06-11;534,64;527,15;533,76;527,15;394510640
2003-06-12;542,24;534,62;539,04;534,62;543249831
2003-06-13;539,34;528,95;529,43;539,04;351728888
2003-06-16;535,27;524,57;534,85;529,43;304360392
2003-06-17;544,59;536,46;541,58;536,46;348674101
2003-06-18;545,44;536,96;545,21;541,58;313606736
2003-06-19;545,86;538,53;539,15;545,21;227801024
2003-06-23;538,36;531,6;531,68;538,36;230441585
2003-06-24;532,54;524,25;525,09;531,68;312312257
2003-06-25;529,55;525,41;527,96;525,41;212289017
2003-06-26;530,37;524,47;528,68;527,96;214787599
2003-06-27;537,67;530,7;536,54;536,54;194833023
2003-06-30;537,01;530,37;531,46;536,54;197968929
2003-07-01;531,96;520,55;522,32;531,46;212477320
2003-07-02;530,71;523,67;529,86;523,67;169901942
2003-07-03;538,95;530,8;537,95;530,8;247585536
2003-07-04;540,39;535,07;539,05;537,95;144882719
2003-07-07;553,16;539,49;551,94;539,49;243452830
2003-07-08;553,76;546,27;550,17;551,94;248078847
2003-07-09;550,9;545,45;546,28;550,17;191235190
2003-07-10;548,78;540,81;540,83;546,28;142846520
2003-07-11;544,24;538,09;544,16;540,83;153606423
2003-07-14;554,01;544,5;553,67;544,5;149766302
2003-07-15;557,71;549,36;554,53;554,53;404140017
2003-07-16;558,25;549,85;549,91;554,53;295831670
2003-07-17;549,68;541,41;546,23;549,68;532575051
2003-07-18;561,78;552,67;552,67;552,67;1081583577
2003-07-21;559,28;550,64;551,26;552,67;375227917
2003-07-22;554,21;547,7;549,49;551,26;285784887
2003-07-23;552,71;546,14;546,73;549,49;180606802
2003-07-24;556,75;546,72;555,66;555,66;176426186
2003-07-25;555,25;551,21;552,78;555,25;207924599
2003-07-28;563,17;556,29;562,67;562,67;286943002
2003-07-29;564,49;557,6;560,4;562,67;180179579
2003-07-30;565,03;561,22;564,86;564,86;157222215
2003-07-31;571,62;559,38;571,01;564,86;236584096
2003-08-01;572,55;566,05;568,51;571,01;262061255
2003-08-04;572,06;564,61;567,72;568,51;220090268
2003-08-05;571,95;566,25;570,62;567,72;186799451
2003-08-06;568,13;557,29;558,44;568,13;224713717
2003-08-07;559,14;550,42;555,74;558,44;244668035
2003-08-08;560,8;554,91;557,87;555,74;148030019
2003-08-11;561,92;556,12;557,91;557,87;153569616
2003-08-12;569,47;558,81;567,64;558,81;191334706
2003-08-13;576,39;568,9;574,52;568,9;229176713
2003-08-14;578,37;571,65;578,37;574,52;218985427
2003-08-15;580,32;572,9;574,94;578,37;158604230
2003-08-18;585,26;575,58;585,26;575,58;224615624
2003-08-19;593,71;585,98;592,48;585,98;482729714
2003-08-20;595,26;587,48;592,64;592,48;366522591
2003-08-21;602,5;592,02;599,13;592,64;325369345
2003-08-22;603,26;594,23;597,1;599,13;461398159
2003-08-25;596,43;589,18;589,84;596,43;157531902
2003-08-26;594,32;580,68;583,9;589,84;291768467
2003-08-27;590,38;584,91;588,06;584,91;246389781
2003-08-28;595,18;587,89;589,97;588,06;291630018
2003-08-29;594,78;586,43;586,43;589,97;247703270
2003-09-01;599,43;587,05;598,45;587,05;186747589
2003-09-02;604,36;597,7;601,1;598,45;260560014
2003-09-03;616,39;603,03;611,12;603,03;353099179
2003-09-04;612,74;608,34;610,72;612,22;363216777
2003-09-05;613,98;606,29;612,49;611,15;286579468
2003-09-08;615,45;609,15;615,14;612,49;228865782
2003-09-09;618,42;608,74;609,11;615,14;386030160
2003-09-10;607,83;598,74;599,18;607,83;325216053
2003-09-11;602,19;591,28;600,44;599,18;317390691
2003-09-12;610,35;600,4;602,77;600,44;255157655
2003-09-15;609,55;602,33;603,71;602,77;268337192
2003-09-16;609,94;602,21;609,53;603,71;211401840
2003-09-17;617,65;607,66;608,99;609,53;250128618
2003-09-18;608,93;602,14;608,48;608,93;253324706
2003-09-19;608,51;602,8;603,03;608,48;275289578
2003-09-22;601,18;585,76;589,36;601,18;361432838
2003-09-23;593,6;582,88;588,08;589,36;348351565
2003-09-24;595,18;581,22;581,22;588,08;341028652
2003-09-25;579,68;572,79;576,78;579,68;354856524
2003-09-26;582,94;574,74;581,65;576,78;297327030
2003-09-29;586,41;575,33;575,61;581,65;251564295
2003-09-30;577,73;565,01;567,02;575,61;228148945
2003-10-01;572,56;565,04;572,56;567,02;357296239
2003-10-02;580,12;570,27;570,39;572,56;329450327
2003-10-03;591,7;571,67;591,24;571,67;269218934
2003-10-06;597,31;588,86;590,99;591,24;189123314
2003-10-07;590,88;582,81;589,73;590,88;257571289
2003-10-08;597,76;587,72;592,96;589,73;270007963
2003-10-09;601,84;589,78;601,75;592,96;352438037
2003-10-10;602,35;595,8;596,21;601,75;165628443
2003-10-13;606,64;596,91;605,33;596,91;219997289
2003-10-14;611,0;602,71;610,69;605,33;293789496
2003-10-15;618,9;610,02;615,08;610,69;335442308
2003-10-16;618,07;607,84;609,67;615,08;435682326
2003-10-17;614,85;608,63;610,02;609,67;242717530
2003-10-20;614,12;606,95;613,02;608,82;265474735
2003-10-21;617,88;605,75;608,11;613,02;272599470
2003-10-22;608,16;594,31;594,31;608,11;260814103
2003-10-23;603,58;588,17;600,73;594,31;295855782
2003-10-24;606,68;599,69;605,59;600,73;234027106
2003-10-27;616,7;606,21;614,77;606,21;212040565
2003-10-28;622,84;615,17;622,03;615,17;327849222
2003-10-29;626,49;617,5;618,56;622,03;396585864
2003-10-30;627,29;614,64;620,28;618,56;706439583
2003-10-31;620,22;615,33;617,57;620,22;292220249
2003-11-03;625,99;618,22;622,09;618,22;281937395
2003-11-04;624,53;617,15;619,16;622,09;218911727
2003-11-05;617,98;609,86;612,08;617,98;315345342
2003-11-06;620,18;610,78;616,66;612,08;326009789
2003-11-07;628,17;617,91;622,38;617,91;337507335
2003-11-10;623,93;618,06;618,34;622,38;154665222
2003-11-11;617,08;611,93;614,33;617,08;191112485
2003-11-12;619,02;612,03;617,21;614,33;291824666
2003-11-13;625,11;618,44;624,65;618,44;266895705
2003-11-14;634,19;622,89;631,3;624,65;285408920
2003-11-17;629,43;617,4;617,52;629,43;214499566
2003-11-18;622,46;613,06;615,15;617,52;255493710
2003-11-19;612,69;606,48;608,38;612,69;284653964
2003-11-20;611,82;599,64;605,42;608,38;345543276
2003-11-21;606,5;601,38;603,13;605,42;154919411
2003-11-24;613,98;604,87;613,61;604,87;308019094
2003-11-25;616,3;611,81;612,38;614,43;217915410
2003-11-26;614,74;607,38;609,48;612,84;189369855
2003-11-27;617,36;609,49;617,02;611,35;142885328
2003-11-28;619,54;612,61;614,52;617,35;169828050
2003-12-01;622,31;615,98;621,26;616,63;202180807
2003-12-02;627,12;619,1;621,92;621,27;226397228
2003-12-03;626,43;620,36;622,54;621,38;207388332
2003-12-04;627,99;621,66;626,28;623,08;250057480
2003-12-05;629,34;621,72;623,24;627,02;179890367
2003-12-08;621,82;614,75;616,35;621,82;179771420
2003-12-09;621,79;616,51;616,97;618,77;292356380
2003-12-10;618,42;611,82;616,23;617,76;335593553
2003-12-11;618,48;613,43;617,44;617,92;183371511
2003-12-12;621,12;615,55;617,53;619,29;348547564
2003-12-15;625,37;620,66;621,6;620,91;222775365
2003-12-16;620,45;613,87;614,08;620,11;194267166
2003-12-17;615,55;605,92;606,08;614,86;201796412
2003-12-18;614,64;604,47;613,78;606,54;267339433
2003-12-19;619,67;612,08;618,55;616,04;263270222
2003-12-22;620,95;616,24;618,39;618,25;202356511
2003-12-23;628,86;619,88;628,11;619,88;146251131
2003-12-29;640,0;628,62;638,62;628,94;159711118
2003-12-30;644,06;633,5;636,29;640,54;157034896
2004-01-02;644,55;635,67;644,48;635,67;122593443
2004-01-05;645,3;640,84;644,55;643,23;140748967
2004-01-06;645,3;640,84;644,55;643,23;140748967
2004-01-07;648,79;633,47;635,47;647,07;298323785
2004-01-08;654,07;640,27;647,7;640,27;932760642
2004-01-09;653,9;644,66;650,48;649,44;628006008
2004-01-12;653,69;644,74;652,33;648,59;359871509
2004-01-13;662,06;651,12;655,1;655,46;587673314
2004-01-14;662,64;654,71;661,13;655,56;372323935
2004-01-15;666,37;657,75;665,12;660,32;321076085
2004-01-16;672,83;668,1;672,54;669,09;407938716
